error_std,probe_budget,policy,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,true_opportunities_mean,missed_opportunities_mean,false_positive_rate,execution_failure_rate,failure_slot_rate,missed_opportunity_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.1,1,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.941,0.006009246208968385,0.99882,94.46,5.6778,0.03592418550224906,0.448283876071524,17.346385658644355,0.03830616378632871,51.8082,1.8672,51.5482,1.6072,3.6040626773367923,3.6040626773367923,24.34393603156152,3.1178586255194167,1.0,1.6979865873015871,0.5839848798206654,98.81085546861772
0.1,2,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9552,0.006772643796922722,0.999104,95.67999999999999,4.8448,0.05081429940479353,0.43910462019373725,17.24820416766673,0.06472063651193431,51.9084,1.9532,51.1798,1.2246,3.762782131601051,3.762782131601051,29.033190224570678,2.3927408860527004,2.0,1.3279094444444444,0.0,98.96033822268876
0.1,2,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9866,0.002285733142779166,0.9997320000000001,98.7,4.273,0.028852638007641422,0.4212997231807691,17.062501095754183,0.016633976993763268,51.7864,1.7998,51.1642,1.1776,3.475429842584153,3.475429842584153,29.908729230049147,2.3016093283975905,2.0,1.2858503174603175,0.0,99.1269820596117
0.1,2,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9824,0.00325619655426535,0.999648,98.3,4.4992,0.017181051888636036,0.40274445739921605,16.079099287576565,0.06210852665590058,51.195,1.2126,51.858,1.8756,2.368590682683856,2.368590682683856,21.572724039829303,3.6167997223186394,2.0,1.287018650793651,0.0,99.1290116937159
0.1,2,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9886,0.0018176292251177275,0.999772,98.88,4.2924,0.015821461879358695,0.41702872243166783,16.729613173607603,0.030182952987473706,51.6098,1.6212,51.1836,1.195,3.1412638684900926,3.1412638684900926,27.802627900475258,2.334732218913871,2.0,1.3042923015873018,0.5,99.13737732405501
0.1,2,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9868,0.0016860557523417678,0.9997360000000001,98.7,4.322,0.030218344097583998,0.4145469358364293,16.69706235423241,0.03575699790157985,51.6286,1.6418,51.1984,1.2116,3.180020376303057,3.180020376303057,27.732531235539103,2.3664802025063283,2.0,1.3037125396825398,0.6046338307124274,99.13498467736395
0.1,4,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9884,0.0011760000000000444,0.999768,98.88,3.7696,0.03318483171571003,0.41142537285695846,16.955925046585275,0.05550107205572895,51.7848,1.7964,50.8786,0.8902,3.4689715901191085,3.4689715901191085,33.112266553480474,1.7496550612634783,4.0,0.9368320634920634,0.0,99.2171084041475
0.1,4,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9934,0.001329336676693561,0.999868,99.36,3.5132,0.01700123477868597,0.3974781431844773,16.832934030846975,0.0620354764259746,51.6988,1.7054,50.8826,0.8892,3.2987226009114328,3.2987226009114328,33.439599225777066,1.7475522084170227,4.0,0.8869576984126984,0.0,99.2941275673503
0.1,4,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.992,0.002147072425420332,0.99984,99.22,3.6612,0.021465355902011114,0.380858039440117,15.874102891379877,0.041236308030962045,51.1502,1.1582,51.409,1.417,2.264311771996981,2.264311771996981,24.319895116355294,2.75632671322142,4.0,0.9058770634920634,0.0,99.30240338398099
0.1,4,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.993,0.0012396128427864187,0.9998600000000001,99.32,3.55,0.02167550875988846,0.38811159833399933,16.259796625172843,0.063636048668045,51.4616,1.4686,50.9242,0.9312,2.8537783512366506,2.8537783512366506,30.0,1.8286001547397897,4.0,0.9161960317460318,0.5,99.30197558070476
0.1,4,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9924,0.0018176292251160754,0.9998480000000001,99.26,3.5666,0.01666115290128511,0.38444911892532035,16.130678912698826,0.054259852329148976,51.4132,1.4208,50.9312,0.9388,2.7634926439124583,2.7634926439124583,29.01923400437391,1.843270922342297,4.0,0.9282553174603174,0.6171513791273836,99.3047950905484
0.1,8,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9936,0.0019203999583418,0.999872,99.38,3.178,0.016608036608822853,0.38300646620207385,16.759260336633886,0.07833078192927644,51.7504,1.7568,50.7034,0.7098,3.394756369032896,3.394756369032896,36.52611705475142,1.3999061206940757,8.0,0.6019920634920635,0.0,99.36991970556134
0.1,8,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.994,0.001073536212710166,0.99988,99.44,3.0876,0.04025689227945953,0.37958812716977414,16.687744047940882,0.06295504578189995,51.7128,1.7188,50.7146,0.7206,3.323741897557278,3.323741897557278,36.954268687653844,1.4208926029190805,8.0,0.5611452380952381,0.0,99.39271386085437
0.1,8,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9936,0.0014667296956171777,0.999872,99.38,3.183,0.02369898563230081,0.36325178215911635,15.752369230338331,0.066146667766231,51.1348,1.1412,51.1136,1.12,2.231748241901797,2.231748241901797,27.370405278039584,2.1911976460276716,8.0,0.5682697619047619,0.0,99.40529691875061
0.1,8,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9942,0.0016860557523404726,0.999884,99.44,3.1564,0.02760470568580653,0.36684009651115534,15.89567570852504,0.029354650364435683,51.3572,1.363,50.7392,0.745,2.6539608857180688,2.6539608857180688,31.174756051197566,1.468292759838547,8.0,0.5964892063492063,0.5,99.40169147800665
