config_id,sweep,sweep_value,num_nodes,num_slots,num_irs_elements,num_codebook_states,policy,episodes,success_mean,success_rate_mean,success_std,perfect_rate,slots_mean,slot_fraction_mean,avg_power_mean,total_energy_mean,decision_preview_calls_mean,decision_preview_calls_per_slot_mean,tie_candidates_mean,episode_reward_mean,slot1_tx_mean,slot2_total_mean
N10,N,10,50,10,64,16,Feature Argmax IRS,300,50.0,1.0,0.0,100.0,2.4433333333333334,0.24433333333333337,0.4175156777184833,16.532739252645538,0.0,0.0,2.6936111111111107,99.08225937121723,44.94,49.5
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,300,50.0,1.0,0.0,100.0,2.44,0.24399999999999997,0.35906400024152074,15.860191971962298,5.89,2.2408333333333332,2.6580555555555554,99.16177940377354,44.94,49.48
N10,N,10,50,10,64,16,Greedy IRS,300,50.0,1.0,0.0,100.0,2.44,0.24399999999999997,0.35906400024152074,15.860191971962298,39.04,16.0,16.0,99.16177940377354,44.94,49.48
N10,N,10,50,10,64,16,Random IRS,300,49.95333333333333,0.9990666666666668,0.21092389359408503,95.33333333333334,5.306666666666667,0.5306666666666666,0.44846810402678433,16.47578835738968,0.0,0.0,0.0,98.54931577714476,41.04,46.653333333333336
N10,N,10,50,10,64,16,No IRS,300,39.03666666666667,0.7807333333333333,2.9858536839942813,0.0,10.0,1.0,0.33368246052128453,13.02562352959796,0.0,0.0,0.0,12.951491282912778,39.03666666666667,39.03666666666667
N15,N,15,50,15,64,16,Feature Argmax IRS,300,49.99666666666667,0.9999333333333333,0.05763872155263527,99.66666666666667,2.493333333333333,0.1662222222222222,0.4120418142602201,16.54696257415673,0.0,0.0,2.6495555555555557,99.07882507145136,44.85,49.47666666666667
N15,N,15,50,15,64,16,Feature Argmax PowerTie IRS,300,49.99666666666667,0.9999333333333333,0.05763872155263527,99.66666666666667,2.5233333333333334,0.16822222222222222,0.35870436835106184,16.0222305718176,6.523333333333333,2.2566111111111113,2.6910555555555553,99.14570892565592,44.85,49.446666666666665
N15,N,15,50,15,64,16,Greedy IRS,300,49.99666666666667,0.9999333333333333,0.05763872155263527,99.66666666666667,2.5233333333333334,0.16822222222222222,0.35870436835106184,16.0222305718176,40.373333333333335,16.0,16.0,99.14570892565592,44.85,49.446666666666665
N15,N,15,50,15,64,16,Random IRS,300,50.0,1.0,0.0,100.0,5.126666666666667,0.3417777777777778,0.4462433252569254,16.71718439942917,0.0,0.0,0.0,98.67313235820774,40.94,46.586666666666666
N15,N,15,50,15,64,16,No IRS,300,39.06,0.7812,2.8733952042836015,0.0,15.0,1.0,0.33819487165025014,13.211415334498946,0.0,0.0,0.0,13.58090170586799,39.06,39.06
M32,M,32,50,10,32,16,Feature Argmax IRS,300,49.99,0.9998,0.099498743710662,99.0,2.6333333333333333,0.2633333333333333,0.43630496928552476,16.715624993009648,0.0,0.0,2.7635,99.00501040462329,44.88333333333333,49.32666666666667
M32,M,32,50,10,32,16,Feature Argmax PowerTie IRS,300,49.99,0.9998,0.099498743710662,99.0,2.6266666666666665,0.2626666666666667,0.38188043437256225,16.12582875476919,7.073333333333333,2.2491666666666665,2.6787777777777775,99.08040174288713,44.88333333333333,49.31666666666667
M32,M,32,50,10,32,16,Greedy IRS,300,49.99,0.9998,0.099498743710662,99.0,2.6266666666666665,0.2626666666666667,0.38188043437256225,16.12582875476919,42.026666666666664,16.0,16.0,99.08040174288713,44.88333333333333,49.31666666666667
M32,M,32,50,10,32,16,Random IRS,300,49.95666666666666,0.9991333333333333,0.20360637405433937,95.66666666666667,5.223333333333334,0.5223333333333333,0.45325633373987984,16.554702833720206,0.0,0.0,0.0,98.53871329477462,41.013333333333335,46.52333333333333
