run_seed,episode_index,episode_seed,channel_rho,csi_delay_slots,slot_idx,remaining_before,seed_indices,selected_indices,feedbacks,preview_calls,oracle_index,seed_best_index,selected_best_index,confirmed_index,oracle_tx,seed_best_current_tx,selected_best_current_tx,confirmed_current_tx,actual_success,scheduled,failed,missed,true_opportunities,pool_gap,selection_gap,confirmation_gap,invitation_gap,total_gap,primary_gap_type,oracle_in_seed,oracle_in_selected,confirmed_is_oracle,seed_best_in_selected,selected_best_confirmed,stale_confirmed_tx,stale_confirmed_power,coverage_marginal_fraction,coverage_overlap_fraction,episode_done,total_tx_after_slot
2026,84,168265064,0.98,1,1,10,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[7,14,2]","[{""irs"":7,""tx"":8.0,""score"":0.13994953,""power"":0.401009402},{""irs"":14,""tx"":6.0,""score"":0.102804233,""power"":0.343915356},{""irs"":2,""tx"":9.0,""score"":0.153093735,""power"":0.538125325}]",16,2,2,2,2,9,9,9,9,8,8,0,1,9,0,0,0,1,1,invitation,1,1,1,1,1,8,0.4607656431414292,0.06666666666666667,0.5833333333333334,0,48
2026,84,168265064,0.98,1,2,2,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[14,8,6]","[{""irs"":14,""tx"":2.0,""score"":0.025995808,""power"":0.280083852},{""irs"":8,""tx"":2.0,""score"":0.017257239,""power"":0.454855222},{""irs"":6,""tx"":1.0,""score"":0.009094326,""power"":0.218113498}]",16,14,14,14,14,2,2,2,2,2,2,0,0,2,0,0,0,0,0,none,1,1,1,1,1,2,0.2166736209617349,0.013333333333333334,0.6666666666666666,1,50
2026,85,561680889,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[0,7,12]","[{""irs"":0,""tx"":44.0,""score"":0.864140781,""power"":0.317184389},{""irs"":7,""tx"":45.0,""score"":0.884190904,""power"":0.316181937},{""irs"":12,""tx"":42.0,""score"":0.826135504,""power"":0.277289935}]",16,7,7,7,7,45,45,45,45,43,44,1,2,45,0,0,0,2,2,invitation,1,1,1,1,1,44,0.2998942845893182,0.32666666666666666,0.6287878787878788,0,43
2026,85,561680889,0.98,1,1,7,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[2,4,9]","[{""irs"":2,""tx"":7.0,""score"":0.120908253,""power"":0.381834955},{""irs"":4,""tx"":6.0,""score"":0.100775874,""power"":0.384482537},{""irs"":9,""tx"":5.0,""score"":0.078998692,""power"":0.420026176}]",16,2,2,2,2,7,7,7,7,7,7,0,0,7,0,0,0,0,0,none,1,1,1,1,1,7,0.35748001314527206,0.04666666666666667,0.6666666666666666,1,50
2026,86,227041179,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[9,1,13]","[{""irs"":9,""tx"":39.0,""score"":0.76554346,""power"":0.289130802},{""irs"":1,""tx"":43.0,""score"":0.846385914,""power"":0.272281721},{""irs"":13,""tx"":41.0,""score"":0.804214636,""power"":0.31570729}]",16,6,6,1,1,44,44,43,43,40,42,2,3,43,0,1,0,3,4,invitation,1,0,0,0,1,42,0.27674536107106174,0.3333333333333333,0.611111111111111,0,40
2026,86,227041179,0.98,1,1,10,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[5,9,12]","[{""irs"":5,""tx"":9.0,""score"":0.159757692,""power"":0.404846169},{""irs"":9,""tx"":8.0,""score"":0.135212804,""power"":0.495743931},{""irs"":12,""tx"":8.0,""score"":0.12954876,""power"":0.609024816}]",16,5,5,5,5,9,9,9,9,8,9,1,1,9,0,0,0,1,1,invitation,1,1,1,1,1,9,0.43009055107064154,0.06666666666666667,0.625,0,48
2026,86,227041179,0.98,1,2,2,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[3,9,8]","[{""irs"":3,""tx"":2.0,""score"":0.009077494,""power"":0.61845013},{""irs"":9,""tx"":1.0,""score"":0.002054779,""power"":0.358904433},{""irs"":8,""tx"":2.0,""score"":0.011868832,""power"":0.562623373}]",16,7,8,8,8,2,2,2,2,2,2,0,0,2,0,0,0,0,0,none,0,0,0,1,1,2,0.5019422368123896,0.013333333333333334,0.6666666666666666,1,50
2026,87,1505044349,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[9,0,2]","[{""irs"":9,""tx"":44.0,""score"":0.86615511,""power"":0.276897821},{""irs"":0,""tx"":42.0,""score"":0.826537372,""power"":0.269252579},{""irs"":2,""tx"":42.0,""score"":0.826292004,""power"":0.27415993}]",16,9,9,9,9,44,44,44,44,42,45,3,2,44,0,0,0,2,2,invitation,1,1,1,1,1,45,0.2777973292023509,0.32666666666666666,0.6349206349206349,0,42
2026,87,1505044349,0.98,1,1,8,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[10,13,2]","[{""irs"":10,""tx"":7.0,""score"":0.119709703,""power"":0.405805951},{""irs"":13,""tx"":4.0,""score"":0.0593204,""power"":0.413591998},{""irs"":2,""tx"":5.0,""score"":0.081541756,""power"":0.369164898}]",16,10,10,10,10,7,7,7,7,6,6,0,1,7,0,0,0,1,1,invitation,1,1,1,1,1,6,0.2726896523658571,0.05333333333333334,0.5555555555555555,0,48
2026,87,1505044349,0.98,1,2,2,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[13,15,0]","[{""irs"":13,""tx"":2.0,""score"":0.021752849,""power"":0.364943031},{""irs"":15,""tx"":1.0,""score"":-0.010690879,""power"":0.613817574},{""irs"":0,""tx"":1.0,""score"":-0.010690878,""power"":0.613817574}]",16,13,13,13,13,2,2,2,2,2,2,0,0,2,0,0,0,0,0,none,1,1,1,1,1,2,0.6602162996509434,0.013333333333333334,0.6666666666666666,1,50
