policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Mask-Corrected Coverage-Aware B=3 mc=1,0.98,3,900,3,1.0,0.0,-1.0,0.0,49.99777777777778,99.77777777777777,3.37,3.7622222222222224,3.7622222222222224,53.76,16.0,1.6689991181657848,0.4988267195767196,0.3754581128747795,0.12336860670194003,0.577141975308642
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.98,3,900,3,1.0,0.0,2.0,0.0,49.99777777777778,99.77777777777777,3.388888888888889,3.7944444444444443,3.7844444444444445,53.782222222222224,16.0,1.674210758377425,0.4331587301587302,0.33036684303350966,0.10279188712522046,0.5763880070546737
Coverage-Aware B=3 sm=4.1,0.7,1,900,3,0.0,0.0,-1.0,0.02,50.0,100.0,3.7533333333333334,7.634444444444444,6.878888888888889,56.87888888888889,16.0,2.8455670194003524,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,1,900,3,0.75,0.0,-1.0,0.02,50.0,100.0,3.482222222222222,7.423333333333333,6.312222222222222,56.312222222222225,16.0,2.830021164021164,0.5809907407407408,0.37181216931216926,0.2091785714285714,0.5994510582010583
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.7,1,900,3,0.75,0.0,2.0,0.02,50.0,100.0,3.4755555555555557,7.456666666666667,6.283333333333333,56.28333333333333,16.0,2.8411640211640212,0.5229404761904761,0.3143042328042328,0.20863624338624337,0.5998611111111111
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,1,900,3,1.0,0.0,-1.0,0.02,50.0,100.0,3.4233333333333333,7.365555555555556,6.1722222222222225,56.172222222222224,16.0,2.8297037037037036,0.7482142857142857,0.48043121693121693,0.2677830687830688,0.6130608465608466
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.7,1,900,3,1.0,0.0,2.0,0.02,50.0,100.0,3.453333333333333,7.461111111111111,6.2122222222222225,56.21222222222222,16.0,2.84205291005291,0.5723015873015873,0.34015608465608466,0.23214550264550263,0.6051666666666666
Coverage-Aware B=3 sm=4.1,0.7,2,900,3,0.0,0.0,-1.0,0.02,50.0,100.0,3.7822222222222224,8.49,6.654444444444445,56.654444444444444,16.0,2.82502557319224,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,2,900,3,0.75,0.0,-1.0,0.02,50.0,100.0,3.5855555555555556,8.178888888888888,6.851111111111111,56.85111111111111,16.0,3.02464417989418,0.4130780423280423,0.4785515873015873,-0.06547354497354498,0.5864563492063493
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.7,2,900,3,0.75,0.0,2.0,0.02,50.0,100.0,3.591111111111111,8.21888888888889,6.684444444444445,56.684444444444445,16.0,2.9892641093474426,0.3782116402116402,0.4027826278659612,-0.02457098765432099,0.5831097883597883
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,2,900,3,1.0,0.0,-1.0,0.02,50.0,100.0,3.5844444444444443,8.17,7.0088888888888885,57.00888888888889,16.0,3.0766278659611994,0.5105079365079365,0.6048055555555556,-0.09429761904761905,0.5929338624338625
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.7,2,900,3,1.0,0.0,2.0,0.02,50.0,100.0,3.5866666666666664,8.246666666666666,6.71,56.71,16.0,3.0120154320987655,0.4156957671957672,0.4370736331569665,-0.021377865961199297,0.587308201058201
Coverage-Aware B=3 sm=4.1,0.7,3,900,3,0.0,0.0,-1.0,0.02,50.0,100.0,3.712222222222222,8.733333333333333,6.504444444444444,56.504444444444445,16.0,2.8771018518518523,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.7,3,900,3,0.75,0.0,-1.0,0.02,50.0,100.0,3.5922222222222224,8.36,6.945555555555556,56.94555555555556,16.0,3.0656984126984126,0.3813716931216931,0.5153505291005291,-0.13397883597883598,0.5702460317460317
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.7,3,900,3,0.75,0.0,2.0,0.02,50.0,100.0,3.5766666666666667,8.376666666666667,6.788888888888889,56.78888888888889,16.0,3.034534391534392,0.33901984126984125,0.43443253968253964,-0.09541269841269841,0.5696481481481481
Mask-Corrected Coverage-Aware B=3 mc=1,0.7,3,900,3,1.0,0.0,-1.0,0.02,50.0,100.0,3.5722222222222224,8.287777777777778,7.11,57.11,16.0,3.1231097883597885,0.4819629629629629,0.6412645502645503,-0.1593015873015873,0.576089947089947
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.7,3,900,3,1.0,0.0,2.0,0.02,50.0,100.0,3.5677777777777777,8.367777777777778,6.843333333333334,56.843333333333334,16.0,3.0622989417989417,0.3808240740740741,0.4801521164021164,-0.09932804232804233,0.5802539682539682
Coverage-Aware B=3 sm=4.1,0.9,1,900,3,0.0,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,3.752222222222222,5.512222222222222,5.155555555555556,55.154444444444444,16.0,2.1260255731922397,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,1,900,3,0.75,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,3.4677777777777776,5.467777777777778,4.496666666666667,54.495555555555555,16.0,2.076583774250441,0.5351706349206349,0.30382804232804234,0.2313425925925926,0.5960299823633157
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.9,1,900,3,0.75,0.0,2.0,0.02,49.99888888888889,99.8888888888889,3.4755555555555557,5.483333333333333,4.528888888888889,54.52777777777778,16.0,2.094784832451499,0.4910251322751323,0.2776164021164021,0.21340873015873016,0.5953289241622575
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,1,900,3,1.0,0.0,-1.0,0.02,49.99888888888889,99.8888888888889,3.4722222222222223,5.5055555555555555,4.4,54.39888888888889,16.0,2.0586512345679013,0.652099647266314,0.37029673721340384,0.2818029100529101,0.6028761022927689
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.9,1,900,3,1.0,0.0,2.0,0.02,49.99888888888889,99.8888888888889,3.497777777777778,5.52,4.495555555555556,54.49444444444445,16.0,2.087450176366843,0.5366719576719576,0.30424867724867727,0.23242328042328042,0.5956794532627866
