decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,8,Stale-TopK Feedback Grid B=8,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.24,0.05880000000000005,0.3548228989244519,16.11529853161726,0.005923897814655987,50.23,0.23,2.09,52.09,5.683333333333334,24.0,0.64325,0.0,99.4498157181283
0.0,0.0,temporal_ar1,0.7,1,2,Temporal Deviation Oracle B=2,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.14,0.1372000000000001,0.35601779026035274,16.123065199446586,0.10335921856463862,50.215,0.215,1.86,51.86,5.6083333333333325,2.0,0.5808333333333333,0.0,99.45429335803803
0.0,0.0,temporal_ar1,0.7,1,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.97,0.019600000000000017,0.35701463082852186,16.22499751372254,0.11140466584332458,50.345,0.345,1.175,51.175,9.341666666666667,4.0,0.456,0.0,99.47711546882009
0.0,0.0,temporal_ar1,0.7,1,8,Temporal Deviation Oracle B=8,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.935,0.02940000000000024,0.35081615065481553,16.34424309372695,0.0005094212723619052,50.67,0.67,0.86,50.86,17.391666666666666,8.0,0.45758333333333323,0.0,99.4863966866589
0.0,0.0,temporal_ar1,0.7,3,2,Estimated Rotating Grid B=2,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.71,0.15680000000000013,0.41816899481875697,17.258463692708247,0.10230242674796265,52.14,2.14,3.07,53.07,31.34821428571429,2.0,1.707785714285714,0.0,99.0531282585223
0.0,0.0,temporal_ar1,0.7,3,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.14,0.17640000000000058,0.38947144873288164,16.947445906165463,0.18014866632522955,52.005,2.005,1.82,51.82,30.99345238095238,4.0,1.2565178571428572,0.0,99.20462957491918
0.0,0.0,temporal_ar1,0.7,3,8,Estimated Rotating Grid B=8,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.675,0.04900000000000025,0.37339305688990215,16.877342301419368,0.020957240750807526,51.81,1.81,1.085,51.085,30.9968253968254,8.0,0.8917936507936508,0.0,99.31439099983425
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=1 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,49.985,0.009800000000005013,0.9997,98.5,5.24,0.019599999999999583,0.41883523209125806,16.83739541052687,0.09925001389861483,51.3,1.315,5.065,55.05,19.816269841269843,4.0,1.7999821428571432,0.0,99.01269093449437
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=1 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,49.985,0.009800000000005013,0.9997,98.5,5.24,0.019599999999999583,0.41883523209125806,16.83739541052687,0.09925001389861483,51.3,1.315,5.065,55.05,19.816269841269843,4.0,1.7999821428571432,0.0,99.01269093449437
0.0,0.0,temporal_ar1,0.7,3,2,Sparse-TopK Feedback Grid B=2 sm=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,49.985,0.009800000000005013,0.9997,98.5,5.24,0.019599999999999583,0.41883523209125806,16.83739541052687,0.09925001389861483,51.3,1.315,5.065,55.05,19.816269841269843,4.0,1.7999821428571432,0.0,99.01269093449437
