policy,run_idx,run_seed,episode_idx,episode_seed,slot,g_th,alpha_th,irs_index,tx_this_slot,total_tx,power_avg,reward,oracle_irs_index,oracle_tx_this_slot,irs_matches_oracle,oracle_tx_gap,termination_reason
SAC,1,2026,18,1401844688,3,0.0016185203790664675,0.05419322550296784,8,0,42,0.0,0.0,3,6,0,6,running
SAC,1,2026,18,1401844688,4,0.001581556558609009,0.052714216709136966,7,0,42,0.0,0.0,3,6,0,6,running
SAC,1,2026,18,1401844688,5,0.0017037639617919923,0.053046777844429016,7,0,42,0.0,0.0,3,6,0,6,running
SAC,1,2026,18,1401844688,6,0.001764220952987671,0.053485751152038574,8,0,42,0.0,0.0,3,6,0,6,running
SAC,1,2026,18,1401844688,7,0.0014748940467834474,0.0522268146276474,5,5,47,0.5799210420173806,9.710039138793945,3,6,0,1,running
SAC,1,2026,18,1401844688,8,0.019948292732238773,0.07645035386085511,9,0,47,0.0,0.0,3,0,0,0,running
SAC,1,2026,18,1401844688,9,0.0013202229738235474,0.05172574520111084,5,0,47,0.0,0.0,3,3,0,3,running
SAC,1,2026,18,1401844688,10,0.0013056973218917847,0.051465049386024475,7,0,47,0.0,-4.8775506019592285,3,3,0,3,time_limit
SAC,1,2026,19,211455622,1,0.0014828810691833497,0.052237740159034735,8,37,37,0.3236622197433077,73.83816528320312,12,43,0,6,running
SAC,1,2026,19,211455622,2,0.0014477769136428834,0.052062189579010015,7,7,44,0.5669119198958793,13.716544151306152,5,10,0,3,running
SAC,1,2026,19,211455622,3,0.0016993144750595095,0.054267233610153204,8,0,44,0.0,0.0,12,5,0,5,running
SAC,1,2026,19,211455622,4,0.004083920478820801,0.056892833113670355,7,0,44,0.0,0.0,12,5,0,5,running
SAC,1,2026,19,211455622,5,0.005043638706207275,0.058410415053367616,7,0,44,0.0,0.0,12,4,0,4,running
SAC,1,2026,19,211455622,6,0.0026975075006484984,0.055749070644378666,8,0,44,0.0,0.0,12,5,0,5,running
SAC,1,2026,19,211455622,7,0.0016689757108688356,0.05306085050106049,6,4,48,0.4065638082985744,7.796718120574951,12,5,0,1,running
SAC,1,2026,19,211455622,8,0.061452270507812504,0.10636268854141236,9,0,48,0.0,0.0,12,0,0,0,running
SAC,1,2026,19,211455622,9,0.002713594794273377,0.05664186775684357,8,0,48,0.0,0.0,12,2,0,2,running
SAC,1,2026,19,211455622,10,0.0014344165325164795,0.052254012227058416,7,0,48,0.0,-2.3662357330322266,12,2,0,2,time_limit
SAC,1,2026,20,640600314,1,0.0014957318305969238,0.05231426060199738,8,28,28,0.34714849893323235,55.8264274597168,15,40,0,12,running
SAC,1,2026,20,640600314,2,0.0013782749176025392,0.05169749855995179,7,12,40,0.517655858072647,23.741172790527344,0,14,0,2,running
SAC,1,2026,20,640600314,3,0.0017011443376541138,0.05398714542388916,9,2,42,0.86995548004963,3.5650222301483154,12,6,0,4,running
SAC,1,2026,20,640600314,4,0.002335600018501282,0.0540231853723526,7,0,42,0.0,0.0,12,5,0,5,running
SAC,1,2026,20,640600314,5,0.0021918216943740843,0.05351833403110504,8,0,42,0.0,0.0,12,5,0,5,running
SAC,1,2026,20,640600314,6,0.0015639791488647461,0.05278003215789795,7,0,42,0.0,0.0,12,5,0,5,running
SAC,1,2026,20,640600314,7,0.0018465230464935305,0.05343514978885651,7,0,42,0.0,0.0,12,5,0,5,running
SAC,1,2026,20,640600314,8,0.0013710508346557618,0.05181587636470795,5,3,45,0.5425288391350873,5.728735446929932,12,5,0,2,running
